numunitid,obsval,source_code_description,description,target,predicted_source_code_description
26371,2,,slightly low,,percent
15226,2,,mmHg134,,percent
12728,2,,box,,percent
16348,2,,R/DAILY,,percent
22198,2,,since last rev,,percent
10845,2,,forthnight,,percent
27563,2,,8 a day,,gram per 24 hours
15447,2,,IU mL,,international unit per liter
10040,2,,g*/L,,percent
6818,2,,nmol/m/ml,,nanomole per 24 hours
3496,2,,Liver enzymes NOS,,percent
12662,2,,/da15,,percent
25985,2,,WBC 3.53,,percent
6786,2,,4..,,percent
19137,2,,40+4,,percent
27196,2,,/day(occasional cig),,per 24 hours
22800,2,,every 2/52,,percent
6171,2,,warwick,,percent
23695,2,,1055,,percent
22477,2,,115E,,percent
26571,2,,down to 5 mg,,percent
11335,2,,39.1,,percent
12296,2,,pack/yr,,percent
13488,2,,oz / week,,percent
5958,2,,\meddata\s6000\document\Apollo\2012\MAR\260433.TIF,,percent
15978,2,,non fasting,,percent
19921,2,,70 per week,,per week
27187,2,,/packsweekly,,percent
7240,2,,1201,,percent
16838,2,,mins/day,,gram per 24 hours
12015,2,,1420,,percent
21294,2,,week size,,percent
17686,2,,Bleeding tests,,percent
12317,2,,tweek,,percent
22493,2,,/biweekly,,percent
16196,2,,times/3 to 6 monthly,,percent
25141,2,,WBC 11.08,,percent
26805,2,,WBC 9.59,,percent
27647,2,,\meddata\s6000\document\Apollo\2009\AUG\MERG0187.T,,percent
2784,2,,chain smoker,,percent
8807,2,,3 oz,,percent
23388,2,,6/7 mg alt days,,milligram per millimole of creatinine
15888,2,,nml,,percent
27578,2,,weeks - worse,,percent
17968,2,,>x mL/min,,milliliter per minute per 1.73 square meter
8921,2,,100 mmHg,,percent
28809,2,,- 3 rolls/daily,,percent
21264,2,,feet and inches,,percent
26111,2,,stable same dsoe,,percent
18577,2,,\meddata\s6000\document\Apollo\2008\JUL\109706.TIF,,percent
12136,2,,GLPU,,percent
13874,2,,pmol\L,,percent
23656,2,,1987,,percent
8994,2,,x1091-1,,percent
24062,2,,exp = 4-11,,percent
13444,2,,ugE1/g sto,,percent
11026,2,,/100 Nucleated cells,,percent
18795,2,,50 grams week,,gram
22275,2,,m/ls,,percent
6888,2,,1300,,percent
15894,2,,'umol/l,,percent
17337,2,,Alk. Phos. Isoenzyme studies,,percent
24579,2,,\meddata\s6000\document\Apollo\2013\FEB\313240.TIF,,percent
19506,2,,\meddata\s6000\document\Apollo\2004\DEC\8178.TIF|8,,percent
26794,2,,WBC 9.66,,percent
2461,2,,12g/aweek,,percent
26396,2,,WBC 11.97,,percent
15780,2,,gave up,,percent
18057,2,,times3/week,,percent
11823,2,,uhgljihgl,,percent
23800,2,,25/28,,percent
22985,2,,[200--450],,percent
15507,2,,\meddata\s6000\document\Apollo\2011\5\Document 662,,percent
15737,2,,CSF cell content,,percent
9540,2,,u week,,percent
21463,2,,pmpl/L,,percent
7363,2,,.92,,percent
22697,2,,10 L,,billion per liter
17432,2,,+month,,percent
18121,2,,16 hour,,percent
14733,2,,times every 2 weeks,,percent
7965,2,,note done,,percent
16535,2,,u/6 weekly,,percent
16176,2,,1976,,percent
15931,2,,mosm/KgU,,percent
13452,2,,U/week 6,,percent
11492,2,,3-15,,percent
27961,2,,U/4 times per week,,per week
20669,2,,\meddata\s6000\document\Apollo\2006\FEB\1025.TIF|1,,percent
4952,2,,2037,,percent
18506,2,,cig /day,,per 24 hours
26314,2,,action,,percent
8880,2,,pints/per night,,percent
16584,2,,84/min,,percent
12158,2,,perday,,percent
21453,2,,Grms of tob per week,,per week
17787,2,,15/week,,percent
10724,2,,3 times per week,,per week
15180,2,,tabs/week,,percent
6737,2,,\meddata\s6000\document\Apollo\2006\OCT\33242.TIF|,,percent
21580,2,,mE/L,,percent
21973,2,,ecig,,percent
12196,2,,10 week,,billion per liter
17174,2,,day ?,,gram per 24 hours
23424,2,,3/4/4mg,,percent
9862,2,,Human parvovirus IgG level,,percent
15876,2,,Day#,,gram per 24 hours
17593,2,,\meddata\s6000\document\Apollo\2013\FEB\311923.TIF,,percent
22716,2,,I-Care,,percent
17511,2,,gm p/l,,percent
13132,2,,daily quantity,,percent
23558,2,,2 & half,,percent
2946,2,,25gms,,percent
9061,2,,/ 3 weeks,,percent
26276,2,,\meddata\s6000\document\Apollo\2009\DEC\158958.TIF,,percent
23902,2,,ounce/ day,,gram per 24 hours
2788,2,,2.8,,percent
8768,2,,(see unit comment,,percent
6473,2,,15 hours/day,,gram per 24 hours
12095,2,,pmol/ L,,percent
6831,2,,1054,,percent
23900,2,,microgramHb/g,,percent
10421,2,,3 day faecal fat estimation,,gram per 24 hours
11434,2,,microg/1,,percent
21594,2,,U/day vodca,,gram per 24 hours
15413,2,,2002,,percent
9742,2,,on exercistimes/week,,percent
3511,2,,Faecal porphyrins,,percent
10334,2,,Serum tobramycin level,,percent
3040,2,,3/months,,percent
11854,2,,yyyyy,,percent
12774,2,,54mmol/mol,,percent
12592,2,,dqys,,percent
24659,2,,<x seconds,,percent
12560,2,,bottle daily,,percent
19019,2,,6.41,,percent
18963,2,,week end,,percent
26982,2,,WBC 11.94,,percent
17406,2,,g(Hb)/dL,,percent hemoglobin
15738,2,,Colour index,,percent
25334,2,,normla,,percent
21717,2,,19/27,,score
13222,2,,ltrs a day,,gram per 24 hours
26674,2,,WBC 13.25,,percent
28305,2,,-15 U/week,,percent
5803,2,,every 10 days,,billion per liter
28141,2,,/7    U/week,,percent
21707,2,,Cigarettes /week,,day per week
18766,2,,3-4 U/week,,percent
8966,2,,1132,,percent
17882,2,,1394,,percent
6287,2,,130/70,,percent
5751,2,,@37DegC,,percent
3225,2,,0- 4,,percent
16325,2,,alternate days,,percent
6797,2,,un-known unit,,percent
22637,2,,ÂµIU/ml,,percent
25502,2,,WBC 9.41,,percent
9821,2,,2101,,percent
7283,2,,1744,,percent
6325,2,,AEU/ML,,percent
12535,2,,/30 day,,gram per 24 hours
13538,2,,d/gl,,percent
17290,2,,Phenobarbitone: blood level,,percent
21931,2,,occasionally.,,percent
20523,2,,- 1.64,,percent
10522,2,,Faeces consistency: NOS,,percent
8002,2,,UP SLIGHTL,,percent
24301,2,,<4.0,,percent
8897,2,,cans of large/week,,percent
27952,2,,dasys,,percent
17204,2,,hours +,,percent
25093,2,,not fasting,,percent
18907,2,,exacs/year,,percent
8210,2,,\meddata\s6000\document\Apollo\2011\AUG\164106.TIF,,percent
27169,2,,U/occcasionally,,percent
29244,2,,houses,,percent
22366,2,,days per wk in last mth,,day per week
11722,2,,"..,",,percent
21038,2,,sq. m2,,percent
4083,2,,/oz per day,,per 24 hours
22189,2,,indefintie,,percent
18462,2,,\meddata\s6000\document\Apollo\2010\SEP\193960.TIF,,percent
20732,2,,18/EE/0042,,percent
9663,2,,occasiona,,percent
9211,2,,17/40,,percent
9501,2,,1984,,percent
3389,2,,\meddata\s6000\document\Apollo\2013\1\Document 905,,percent
10074,2,,mL/min1.75m^2,,percent
9014,2,,U1/week,,percent
15897,2,,mmoll.,,percent
16913,2,,4oz/week,,percent
17540,2,,/not every day,,gram per 24 hours
26901,2,,3 mg,,percent
27616,2,,WAVE,,percent
26935,2,,reduce to 3 mg,,percent
25146,2,,WBC 11.55,,percent
17428,2,,Up To/Per Day,,per 24 hours
9461,2,,24/week,,percent
13048,2,,\meddata\s6000\document\Apollo\2005\FEB\9614.TIF|9,,percent
9304,2,,Depression score/21,,score
16677,2,,\meddata\s6000\document\Apollo\2012\6\Document 761,,percent
23385,2,,5/6/6 alt,,percent
20902,2,,beer/day,,gram per 24 hours
13527,2,,amount not specified,,percent
28657,2,,and a half months,,percent
18936,2,,Novartis,,percent
26126,2,,WBC 10.00,,billion per liter
16726,2,,roll up / day,,gram per 24 hours
6578,2,,kU/L.,,percent
16748,2,,cans/weekly,,percent
15243,2,,/2018,,percent
18628,2,,1311,,percent
16032,2,,L mmol/,,millimole per liter
11355,2,,5/21,,score
28139,2,,Â¬Â¬,,percent
15847,2,,mmmoll,,percent
25403,2,,WBC 12.69,,percent
26537,2,,\meddata\s6000\document\Apollo\2010\FEB\168775.TIF,,percent
21329,2,,20/20,,percent
16956,2,,ounces/per week,,per week
10563,2,,u / month,,percent
10882,2,,1992,,percent
26861,2,,\meddata\s6000\document\Apollo\2007\NOV\69296.TIF|,,percent
10942,2,,\meddata\s6000\document\Apollo\2012\JUN\273786.TIF,,percent
21539,2,,drinks monthly,,percent
14109,2,,pts/day,,gram per 24 hours
18553,2,,eu measure,,percent
25417,2,,WBC 150,,percent
13029,2,,Sample: virus identified,,percent
18877,2,,tooth,,percent
24809,2,,Liters Vodka a /day,,gram per 24 hours
15949,2,,wkend,,percent
11887,2,,1358,,percent
24680,2,,PACK /WEEK,,percent
3234,2,,m/2,,percent
3674,2,,Nut mix RAST test,,percent
14211,2,,U/ 3 months,,percent
16659,2,,iu./L,,international unit per liter
28650,2,,unit a week,,percent
26788,2,,WBC 8.62,,percent
28832,2,,week approximately,,percent
13060,2,,44.6,,percent
11668,2,,no. of straws,,percent
5009,2,,2992,,percent
15432,2,,pints/weekend,,percent
22564,2,,few  years,,percent
22004,2,,rolled a day,,gram per 24 hours
23465,1,,STOP THEN 2MG MON,,percent
25698,1,,WBC 28.88,,percent
26367,1,,same 2 mg,,percent
25815,1,,\meddata\s6000\document\Apollo\2010\JUL\185844.TIF,,percent
24161,1,,mmol/l at 1 hr,,millimole per liter
14159,1,,1916F3843,,percent
20729,1,,2.5g,,percent
6535,1,,states no ides,,percent
12160,1,,Pipefuls,,percent
22457,1,,g/8 weeks,,percent
21379,1,,microgram per/L,,percent
26403,1,,WBC 12.47,,score
13123,1,,/UoM,,percent
28377,1,,glass/daily,,percent
18268,1,,g tobacco a day,,gram per 24 hours
21854,1,,0-1/day,,gram per 24 hours
16514,1,,since May,,percent
23255,1,,/5month,,percent
6273,1,,Bottles of whisky,,percent
21677,1,,a/day5,,percent
10502,1,,Serum bilirubin borderline,,percent
21656,1,,/pipe,,percent
17221,1,,months 2/3,,percent
3167,1,,b],,percent
8850,1,,PART TIME,,percent
16121,1,,nmol/L/mmol,,millimole per liter
12256,1,,30/10/2014,,billion per liter
24991,1,,\meddata\s6000\document\Apollo\2006\JUN\12200.TIF|,,percent
22756,1,,136/85,,percent
13076,1,,Hours a month,,percent
7828,1,,X 109L,,percent
28077,1,,timess/month,,percent
19599,1,,\meddata\s6000\document\Apollo\2004\JUL\5791.TIF|5,,percent
25520,1,,\meddata\s6000\document\Apollo\2006\MAR\1823.TIF|1,,percent
27154,1,,ONLY SOCIALLY,,percent
12324,1,,umol/mol haemoglobin,,micromole per mole of hemoglobin
16519,1,,one times/week,,per week
13088,1,,155/84,,percent
14548,1,,AFP MOM,,percent
27282,1,,2 weekly.,,percent
14149,1,,3-4 times a week,,per week
18116,1,,ratio mmol/l,,millimole per liter
28532,1,,times/2-3 monthly,,percent
24284,1,,CSF: protein level NOS,,percent
6070,1,,Hepatitis B screening test,,percent
16201,1,,mi/,,percent
22885,1,,1-2 times a day,,per 24 hours
21235,1,,/month or so,,percent
19988,1,,few hours,,percent
13039,1,,hour & min,,heartbeat
21648,1,,one off,,percent
13044,1,,1 per mth,,percent
28925,1,,10days,,percent
15945,1,,times in last 6month,,percent
21970,1,,0 U/ week,,percent
12489,1,,cans lager/week,,percent
13072,1,,/STAIRS,,percent
21549,1,,0.80,,percent
28540,1,,mg/m2,,milligram per millimole of creatinine
25291,1,,\meddata\s6000\document\Apollo\2012\FEB\257990.TIF,,percent
25127,1,,WBC 10.09,,billion per liter
22505,1,,+ Days,,percent
10252,1,,fornightly,,percent
24772,1,,/since moved to home,,percent
11557,1,,133 - 145,,percent
22717,1,,mg/Lm,,percent
11542,1,,(0.8 - 0.21),,score
19317,1,,\meddata\s6000\document\Apollo\2003\AUG\723.TIF|72,,percent
11766,1,,2.14,,percent
2203,1,,U/monht,,percent
21309,1,,mPa/s 1.50 - 1.72,,percent
27458,1,,70+,,percent
26421,1,,WBC 13.98,,percent
29026,1,,1044,,percent
6851,1,,u.month,,percent
27612,1,,times/recently,,percent
10490,1,,Faeces colour: NOS,,percent
14505,1,,/122,,percent
26913,1,,down to 2.5 mg,,percent
23956,1,,9-22,,percent
17198,1,,getting more painful,,percent
15426,1,,ltrs vodka/Wk,,percent
24957,1,,daily rolls own,,percent
14261,1,,\meddata\s6000\document\Apollo\2012\JUL\doc2005021,,percent
14533,1,,12.2018,,score
19210,1,,thursday,,percent
18640,1,,1396,,percent
25968,1,,WBC 18.83,,percent
29049,1,,nmol/g(Hb)/h,,nanomole per 24 hours
3179,1,,miul/ml,,percent
19935,1,,mg/nmo,,percent
15556,1,,`inches,,percent
5131,1,,2452,,percent
27598,1,,\35,,percent
12716,1,,duration,,percent
24356,1,,weekend's,,percent
25822,1,,\meddata\s6000\document\Apollo\2010\MAY\178393.TIF,,percent
28444,1,,pipe fills,,percent
27329,1,,ml vape,,percent
26533,1,,\meddata\s6000\document\Apollo\2009\SEP\150398.TIF,,percent
25856,1,,down to 7.5 mg,,percent
9874,1,,Hip joint synovial fluid,,percent
11527,1,,(1-3),,percent
17971,1,,10-15 per day,,billion per liter
19753,1,,\meddata\s6000\document\Apollo\2005\APR\10414.TIF|,,percent
23966,1,,exp - 3-17,,percent
29116,1,,20-30 U/week,,percent
14304,1,,\meddata\s6000\document\Apollo\2009\NOV\SCAN4419.T,,percent
24470,1,,\meddata\s6000\document\Apollo\2010\JUN\188542.TIF,,percent
16746,1,,Cans of Lager daily,,percent
10609,1,,21.12.15 Neg,,score
4148,1,,20 onces,,percent
13419,1,,g/5D,,percent
12911,1,,grams - 12 days,,gram
19729,1,,\meddata\s6000\document\Apollo\2004\SEP\6809.TIF|6,,percent
18993,1,,2yrs,,percent
26353,1,,"omit 19,.11.99",,percent
10935,1,,grames,,percent
16613,1,,ELBOW,,percent
25528,1,,\meddata\s6000\document\Apollo\2008\APR\84645.TIF|,,percent
26117,1,,to 5 mg retest 2/52,,percent
21972,1,,U/friday night,,percent
8265,1,,\meddata\s6000\document\Apollo\2012\JAN\175081.TIF,,percent
19474,1,,\meddata\s6000\document\Apollo\2004\APR\4533.TIF|4,,percent
29146,1,,unknown amoutn,,percent
9419,1,,IU/L[mid cycle 2-30],,percent
18350,1,,density,,percent
29120,1,,U/Xmas times only,,percent
12971,1,,No Partners 12/12,,trillion per liter
16501,1,,per quarter year,,percent
24810,1,,/few weeks,,percent
18228,1,,ug/.L,,percent
2024,1,,cont 1/2 mg alt days,,milligram per millimole of creatinine
15957,1,,1 TO 9 A DAY,,gram per 24 hours
13468,1,,\meddata\s6000\document\Apollo\2011\OCT\MERG4648.A,,percent
20441,1,,/ Litre,,percent
14441,1,,week/days,,day per week
6779,1,,titre 4.,,percent
18601,1,,U/week 1-7,,percent
28229,1,,number / day,,gram per 24 hours
26328,1,,continue ISQ,,percent
16013,1,,film needed,,percent
20954,1,,500gr,,percent
26628,1,,up lmg,,percent
4253,1,,Ascitic fluid appearance,,percent
23911,1,,(4.0 - 6.3),,percent
10637,1,,15.11.15,,percent
23982,1,,exp = 0-.0 - 4.0,,percent
20987,1,,5.76,,percent
12633,1,,occasional drink,,percent
26268,1,,\meddata\s6000\document\Apollo\2008\AUG\99508.TIF|,,percent
23617,1,,6/7 alt days,,percent
13097,1,,fPAL,,percent
16044,1,,10*9l/,,billion per liter
18806,1,,0.83,,percent
14471,1,,g/aweek,,percent
25517,1,,worse than usual,,percent
18241,1,,121544,,percent
6794,1,,hours pre colln,,percent
24438,1,,\meddata\s6000\document\Apollo\2008\FEB\93157.TIF|,,percent
9386,1,,(N_),,percent
23849,1,,grms of tobaco/day,,per 24 hours
28670,1,,3.88,,percent
13447,1,,Per Morning,,percent
11713,1,,/mini,,percent
16551,1,,U/week average,,percent
10914,1,,1883,,percent
25420,1,,WBC 19.07,,percent
23423,1,,3/4/4 alt,,percent
12946,1,,quarterely,,percent
19168,1,,NNMOL,,percent
28163,1,,month for groin,,percent
11469,1,,(60-130),,percent
15861,1,,"per fortnight,social",,percent
12041,1,,Audit Status,,percent
13956,1,,g/cc,,percent
16132,1,,g/week - 10 per day,,billion per liter
12283,1,,units\mL,,unit per week
23280,1,,/rolls up,,percent
22204,1,,mls everday,,percent
19428,1,,\meddata\s6000\document\Apollo\2003\OCT\1874.TIF|1,,percent
17975,1,,DARE /level 2,,percent
29025,1,,"month, if that",,percent
13256,1,,70++,,percent
25595,1,,mmols at 10.30,,billion per liter
27790,1,,139/81,,percent
8475,1,,\meddata\s6000\document\Apollo\2010\JAN\120200.TIF,,percent
15723,1,,oz/3week,,percent
28274,1,,gr/day hand rolled c,,gram per 24 hours
7156,1,,fah,,percent
28456,1,,/69,,percent
23124,1,,beer bottles/day,,percent
18421,1,,- 126mmHg,,percent
26269,1,,\meddata\s6000\document\Apollo\2008\FEB\77058.TIF|,,percent
13292,1,,umol/g(Hb),,percent hemoglobin
19008,1,,times pw,,percent
28292,1,,month/,,percent
12184,1,,0.25gm,,percent
19916,1,,PerL,,percent
10266,1,,03/10/2014,,billion per liter
13898,1,,cans carling/night,,percent
27512,1,,0.5  - 2.0,,percent
26324,1,,change to 3 mg,,percent
17480,1,,g/ eight days,,percent
9228,1,,o0ccasionally,,percent
9740,1,,pgmol/L,,percent
1990,1,,mmols2 1/2 hrs pp,,percent
17520,1,,pint a day,,gram per 24 hours
7024,1,,2110,,percent
20202,1,,/day (rolls),,gram per 24 hours
27613,1,,times/during night,,percent
25033,1,,4.91,,percent
8753,1,,35 roll ups a day,,gram per 24 hours
11205,1,,PiM,,percent
18230,1,,*10^12,,trillion per liter
24690,1,,mmom/M,,percent
20846,1,,onze,,percent
25550,1,,\meddata\s6000\document\Apollo\2011\DEC\247974.TIF,,percent
25583,1,,corrected,,percent
29266,1,,degrees far,,percent
13330,1,,*g/dL,,percent
20214,1,,Bethesda u/ml,,percent
13454,1,,st. lbs,,percent
25777,1,,\meddata\s6000\document\Apollo\2005\OCT\SCAN3378.T,,percent
9770,1,,0units,,percent
16291,1,,mcgs per l,,percent
23755,1,,1755,,percent
17330,1,,700 U/week,,percent
25084,1,,low - WBC 5.78,,percent
21509,1,,x10-10M/L,,billion per liter
26884,1,,\meddata\s6000\document\Apollo\2010\OCT\197541.TIF,,percent
29318,1,,/25],,percent
22331,1,,U/when drinking,,percent
9381,1,,L / L,,percent
21916,1,,roll up's,,percent
16787,1,,mL/m/1.73,,percent
22190,1,,indefinie,,percent
16221,1,,\meddata\s6000\document\Apollo\2011\11\Document 74,,percent
7036,1,,1436,,percent
26653,1,,WBC 11.49,,percent
24418,1,,0.5mg-1mg,,percent
25973,1,,WBC 2.63,,percent
18106,1,,every 3 weeks social,,percent
25182,1,,WBC 2.98,,percent
13148,1,,IU/nl,,international unit per liter
24210,1,,330l/min,,percent
20190,1,,90/1.73,,percent
19572,1,,\meddata\s6000\document\Apollo\2004\JAN\3201.TIF|3,,percent
19703,1,,\meddata\s6000\document\Apollo\2004\NOV\8007.TIF|8,,percent
18183,1,,1k,,percent
25397,1,,WBC 11.85,,percent
15668,1,,coagucheck,,percent
15464,1,,\meddata\s6000\document\Apollo\2011\6\Document 677,,percent
4688,1,,mmol/mol Cr.,,millimole per liter
13676,1,,exp. 455 l/min,,percent
28563,1,,unknown amunt,,percent
28325,1,,g a day,,gram per 24 hours
11078,1,,unable to record,,percent
20375,1,,20 off,,percent
26356,1,,PT - raised,,percent
15792,1,,Urine microscopy:hyaline casts,,percent
28740,1,,days..,,percent
17739,1,,6 mthly,,percent
25684,1,,WBC 15.00,,percent
5192,1,,1733,,percent
22907,1,,2x weekly,,percent
26637,1,,WBC 10.44 high,,billion per liter
11686,1,,37.5g/week,,percent
24823,1,,"Unsure, son's info",,percent
19856,1,,\meddata\s6000\document\Apollo\2009\JAN\67348.TIF|,,percent
2877,1,,3022142,,percent
12371,1,,/26 fluency,,percent
15925,1,,\meddata\s6000\document\Apollo\2008\AUG\25967.TIF|,,percent
15455,1,,FSID,,percent
22784,1,,cans a night,,percent
19669,1,,\meddata\s6000\document\Apollo\2004\MAY\5016.TIF|5,,percent
19573,1,,\meddata\s6000\document\Apollo\2004\JAN\3209.TIF|3,,percent
22807,1,,oz.week,,percent
14592,1,,ounce / week,,percent
19782,1,,\meddata\s6000\document\Apollo\2005\FEB\9612.TIF|9,,percent
21491,1,,yeasr,,percent
21957,1,,2 cigars per week,,per week
28615,1,,times per day min,,per 24 hours
18200,1,,0.70,,percent
28804,1,,- 15 U/week,,percent
14362,1,,Cigarret/day,,gram per 24 hours
26562,1,,CA12-5,,percent
21606,1,,pint/2 weeks,,percent
23780,1,,3.85,,percent
11058,1,,MONTHIY,,percent
29078,1,,times in 14 days,,percent
14264,1,,\meddata\s6000\document\Apollo\2011\JUL\SCAN5903.T,,percent
16157,1,,week + 2,,percent
16799,1,,m U /L,,percent
17374,1,,[fL],,percent
10912,1,,1698,,percent
3197,1,,mg/24hr...,,milligram per millimole of creatinine
25365,1,,TCI  not urgent,,percent
21381,1,,\meddata\s6000\document\Apollo\2010\JUN\183286.TIF,,percent
29209,1,,2/4 x a month,,percent
28479,1,,41112,,percent
20498,1,,+ug/L,,percent
15800,1,,grams tobacco,,gram
20376,1,,dege F,,percent
17978,1,,very rare,,percent
24954,1,,/cannabis joint day,,gram per 24 hours
13536,1,,+ times before Xmas,,percent
19693,1,,\meddata\s6000\document\Apollo\2004\NOV\7809.TIF|7,,percent
2568,1,,x7,,percent
24074,1,,exp = 7.36 - 13.86,,percent
28205,1,,pmoi/l,,percent
20990,1,,smoke a day,,gram per 24 hours
24312,1,,6mg/100ml,,percent
28937,1,,umol/L (H),,percent
12066,1,,mg/mmolHI,,percent
24155,1,,9/36,,percent
5365,1,,1549,,percent
27132,1,,U/wee35k,,percent
17918,1,,126/71,,percent
28374,1,,Sisha per day,,per 24 hours
13917,1,,nm/L per 24hrs,,percent
25871,1,,no atpical cells,,percent
11837,1,,hours post lithium d,,percent
13815,1,,19.1,,percent
12368,1,,/14 language,,percent
6638,1,,times/week x2,,per week
11670,1,,(150-700),,percent
12207,1,,on weekend,,percent
23004,1,,unit/weeks,,percent
28362,1,,one ounze,,percent
17500,1,,Rx.,,percent
11731,1,,SQM,,percent
15459,1,,occassional 1/12,,score
24485,1,,\meddata\s6000\document\Apollo\2011\MAR\225646.TIF,,percent
20723,1,,30g per week,,per week
14707,1,,U/every 3month,,percent
19623,1,,\meddata\s6000\document\Apollo\2004\JUN\5469.TIF|5,,percent
24850,1,,2.36,,percent
11036,1,,2times,,percent
23479,1,,2mg/3mg alt day,,gram per 24 hours
19746,1,,\meddata\s6000\document\Apollo\2004\SEP\7133.TIF|7,,percent
27539,1,,/9 Per Week,,per week
21660,1,,/grams.per.week,,gram
21148,1,,ng/declilitre,,percent
21326,1,,ng-L,,percent
23921,1,,11.5-16,,percent
14807,1,,1-7 Units a week,,unit per week
14184,1,,no. of sperm,,percent
24073,1,,exp = 7.0 - 30.0,,percent
15720,1,,100g/wk,,percent
25056,1,,continue 6/7mg,,percent
22516,1,,x week,,percent
25328,1,,miles better,,percent
18835,1,,May,,percent
27383,1,,in the past 6-8 week,,percent
19273,1,,IU/g.Hb,,percent hemoglobin
18253,1,,1753,,percent
14225,1,,\meddata\s6000\document\Apollo\2012\JAN\SCAN9216.T,,percent
20834,1,,10/25,,billion per liter
23646,1,,1206,,percent
17865,1,,lklkjlkjlkj,,percent
2735,1,,socially when drunk,,percent
5685,1,,2 Ladies 1aweek,,percent
28248,1,,bottle at/weekend,,percent
11088,1,,Blast cells present,,percent
28297,1,,ppm0.1,,percent
19027,1,,beats70/min,,percent
20178,1,,gd/,,percent
18819,1,,0/10,,billion per liter
24000,1,,exp = 1 - 17,,percent
14275,1,,\meddata\s6000\document\Apollo\2010\DEC\MERG8685.T,,percent
25925,1,,WBC 10.66,,billion per liter
26295,1,,\meddata\s6000\document\Apollo\2011\AUG\234287.TIF,,percent
15286,1,,as necessary,,percent
25125,1,,very borderline,,percent
17539,1,,/2days,,percent
14292,1,,\meddata\s6000\document\Apollo\2011\APR\SCAN4980.T,,percent
11675,1,,(30 - 110),,percent
25642,1,,WBC 10.32,,billion per liter
26505,1,,\meddata\s6000\document\Apollo\2006\FEB\1276.TIF|1,,percent
24655,1,,litres week,,percent
26946,1,,stable 5/4 alt days,,percent
27238,1,,50g/ 7 weeks,,percent
22547,1,,TRIG 1.91 TSH 2.30,,percent
19824,1,,\meddata\s6000\document\Apollo\2005\MAY\10989.TIF|,,percent
14333,1,,CPM risk score,,score
21578,1,,"/9, sub-score",,score
11013,1,,IWOTCH,,percent
16222,1,,L gin/week,,percent
25294,1,,\meddata\s6000\document\Apollo\2013\FEB\303462.TIF,,percent
14349,1,,shisha/week,,percent
28013,1,,- 80 /day,,gram per 24 hours
25555,1,,\meddata\s6000\document\Apollo\2012\FEB\259985.TIF,,percent
28593,1,,/gramsperweek,,percent
25798,1,,\meddata\s6000\document\Apollo\2008\MAY\87514.TIF|,,percent
24444,1,,\meddata\s6000\document\Apollo\2008\OCT\216317.AHF,,percent
20116,1,,micro/litre,,percent
16335,1,,litre a day,,gram per 24 hours
19280,1,,4.60,,percent
27048,1,,WBC 6.1,,percent
9400,1,,nmol/L @ 30 min,,nanomole per 24 hours
17168,1,,da\ys,,percent
11230,1,,2 or 3 times a year,,percent
27444,1,,2-4 month,,percent
16571,1,,months approx.,,percent
21441,1,,35mL/min,,percent
24911,1,,L/min230,,percent
19557,1,,\meddata\s6000\document\Apollo\2004\FEB\3834.TIF|3,,percent
8831,1,,ppm 0,,percent
18974,1,,Glasses of wine day,,percent
12363,1,,1/3 to 1/2 bottle,,percent
9678,1,,12/2017,,score
18604,1,,weeks + 1 day,,gram per 24 hours
9136,1,,cartridge/week,,percent
27130,1,,ng/mLo,,percent
22813,1,,(0.27 - 4.20) mU/L,,percent
24884,1,,quantity unknown.,,percent
24204,1,,RATULS,,percent
13022,1,,winter time,,percent
3489,1,,Plasma viscosity low,,percent
27641,1,,\meddata\s6000\document\Apollo\2010\JAN\SCAN7592.A,,percent
23232,1,,10*9 gl,,billion per liter
26045,1,,\meddata\s6000\document\Apollo\2011\MAY\MERG3420.T,,percent
10847,1,,times/ 3 weeks,,percent
18526,1,,pt/daily,,percent
6423,1,,times / fortnight,,percent
13851,1,,167.5 / 85,,percent
13962,1,,Lg/L(35-53),,percent
11302,1,,6.25,,percent
20586,1,,nmol/mol(creat),,nanomole per 24 hours
17361,1,,uk/day,,gram per 24 hours
15487,1,,in a while,,percent
14119,1,,Immunology test,,percent
25436,1,,WBC 3.88,,percent
12521,1,,pints per day @,,per 24 hours
28512,1,,grade 3,,percent
28405,1,,g/w10,,percent
19405,1,,\meddata\s6000\document\Apollo\2003\NOV\2391.TIF|2,,percent
15685,1,,centimetre,,percent
21132,1,,10-50 IU/L,,billion per liter
25065,1,,from ACD tube,,percent
9712,1,,8105,,percent
5112,1,,2820,,percent
27265,1,,3x a week,,percent
22978,1,,[140--360],,percent
16537,1,,Specific Gravity,,percent
24463,1,,\meddata\s6000\document\Apollo\2010\DEC\211594.TIF,,percent
15331,1,,every so often,,percent
3336,1,,Social/,,percent
21393,1,,/anually,,percent
14720,1,,x10E12,,percent
26531,1,,\meddata\s6000\document\Apollo\2009\FEB\123634.TIF,,percent
26996,1,,WBC 12.85,,percent
16285,1,,week +6 days,,day per week
13362,1,,\meddata\s6000\document\Apollo\2007\DEC\82579.AHF|,,percent
21275,1,,months/year,,percent
22321,1,,2/3 days,,percent
26922,1,,low - WBC 10.08,,billion per liter
19376,1,,\meddata\s6000\document\Apollo\2003\JUL\455.TIF|45,,percent
6922,1,,1694,,percent
23741,1,,umol/molHe,,percent
15440,1,,\meddata\s6000\document\Apollo\2011\9\Document 160,,percent
